Date,Open,High,Low,Close,Adj Close,Volume
06-03-1996,94.093002,94.859596,93.518097,93.709801,19.893383,122629
07-03-1996,94.380501,95.817802,93.901398,94.188904,19.995092,297961
08-03-1996,93.9972,95.721901,93.709801,95.626099,20.30019,389281
09-03-1996,96.200996,98.308998,96.200996,96.967598,20.584972,712811
10-03-1996,96.200996,100.609001,96.200996,100.033997,21.235926,870663
11-03-1996,100.033997,102.333,99.0756,100.609001,21.357996,702636
12-03-1996,99.650497,101.949997,99.650497,101.949997,23.015224,773343
13-03-1996,102.141998,102.811996,100.464996,100.609001,22.712494,373626
14-03-1996,100.991997,101.949997,100.800003,101.278999,22.863749,425547
15-03-1996,101.567001,103.052002,101.567001,102.141998,23.058569,636364
16-03-1996,103.483002,104.057999,100.800003,101.949997,23.015224,437810
17-03-1996,101.567001,102.621002,100.991997,102.285004,23.090853,276306
18-03-1996,101.567001,102.525002,100.609001,100.991997,22.798958,282568
19-03-1996,100.609001,101.183998,98.692299,100.704002,22.733944,257520
20-03-1996,100.609001,100.609001,98.069504,98.308998,22.193275,198293
21-03-1996,98.308998,99.458801,97.7341,99.267197,22.409584,157852
22-03-1996,98.500702,99.362999,97.7341,97.973701,22.11758,128108
23-03-1996,97.7341,98.500702,97.350899,97.542503,22.020227,248127
24-03-1996,97.542503,98.644402,96.775902,98.308998,22.193275,596967
25-03-1996,98.692299,100.224998,98.692299,99.650497,22.49612,1047301
26-03-1996,98.692299,99.458801,97.494598,97.925797,22.106768,480861
27-03-1996,97.925797,99.698402,96.775902,99.554703,22.474489,267957
28-03-1996,97.7341,99.0756,96.775902,98.213203,22.171646,832048
29-03-1996,97.686203,101.422997,97.542503,100.513,22.690826,625406
30-03-1996,100.800003,102.525002,99.650497,101.375,22.88542,777518
31-03-1996,101.567001,102.525002,100.704002,101.518997,22.917933,291700
01-04-1996,100.991997,101.902,100.656998,100.896004,22.777288,507735
02-04-1996,100.944,102.476997,100.944,101.471001,22.907091,214731
03-04-1996,101.949997,103.099998,101.949997,102.907997,23.231497,435723
04-04-1996,101.758003,103.003998,101.758003,102.237999,23.080244,295091
05-04-1996,100.609001,102.333,100.609001,101.998001,23.026066,254911
06-04-1996,102.525002,102.525002,101.183998,101.806,22.982721,222297
07-04-1996,101.949997,105.973999,101.567001,105.591003,23.837187,409632
08-04-1996,105.973999,108.274002,105.973999,106.454002,24.032009,549481
09-04-1996,106.836998,107.220001,105.446999,106.740997,24.096794,1027993
10-04-1996,106.740997,108.274002,106.405998,107.698997,24.313065,359015
11-04-1996,106.932999,107.171997,101.087997,101.998001,23.026066,299005
12-04-1996,101.949997,101.998001,96.009399,100.609001,22.712494,224645
13-04-1996,100.609001,101.375,99.0756,99.842102,22.539368,111670
14-04-1996,100.224998,100.417,98.213203,98.979797,22.344706,135413
15-04-1996,99.0756,100.417,96.3927,97.159203,21.933704,572441
16-04-1996,96.775902,97.638298,93.901398,97.0634,21.912077,1488242
17-04-1996,97.686203,98.117401,94.859596,97.446701,21.998611,1184279
18-04-1996,98.692299,99.0756,95.434502,95.817802,21.630886,914235
19-04-1996,95.051201,95.626099,93.134903,95.194901,21.490265,931456
20-04-1996,92.943199,95.626099,92.943199,95.051201,21.457817,413754
21-04-1996,93.901398,96.775902,93.901398,95.674004,21.598423,210984
22-04-1996,95.051201,97.7341,95.051201,95.817802,21.630886,353557
23-04-1996,96.5364,96.632202,95.817802,96.200996,21.71739,154121
24-04-1996,95.434502,96.296898,95.434502,96.200996,21.71739,253507
25-04-1996,96.009399,96.200996,93.901398,95.530296,21.565977,145281
26-04-1996,95.338699,95.769897,94.955399,95.147003,21.479452,469334
27-04-1996,95.242897,95.530296,93.9972,94.045097,21.230694,246557
28-04-1996,null,null,null,null,null,null
29-04-1996,94.284698,94.284698,87.960701,89.110497,20.116707,661793
30-04-1996,88.7752,89.493797,87.194199,87.194199,19.684105,294361
